Chunk_Index,Entity_Name,Type,Confidence
0,The Orion Publishing Group,🏟️ Club/Country,98.87%
0,Jonathan Wilson,👤 Person/Manager,99.59%
0,Hachette Book Group,🏟️ Club/Country,99.82%
0,##gus,🏟️ Club/Country,65.68%
0,Bold Type Books,🏟️ Club/Country,99.43%
0,##typebooks,🏟️ Club/Country,78.45%
0,Bold,🏟️ Club/Country,59.86%
0,##ype,🏟️ Club/Country,51.01%
0,Perseus Books,🏟️ Club/Country,99.91%
0,LLC,🏟️ Club/Country,99.56%
0,"Hachette Book Group, Inc",🏟️ Club/Country,96.68%
0,Type Media Center,🏟️ Club/Country,99.95%
0,Hachette Speakers Bureau,🏟️ Club/Country,99.88%
0,hachettespeakersbureau,🏟️ Club/Country,89.95%
0,Library of Congress,🏟️ Club/Country,99.80%
0,Wilson,👤 Person/Manager,99.94%
0,Jonathan,👤 Person/Manager,99.83%
1,D,🏟️ Club/Country,66.43%
1,JONAT,🏟️ Club/Country,57.76%
1,WILSO,🏟️ Club/Country,52.26%
1,Sunderland,🏟️ Club/Country,99.78%
1,Brian Clough,👤 Person/Manager,98.64%
1,Felix,👤 Person/Manager,79.40%
2,Taras Hordiyenko,👤 Person/Manager,99.88%
2,Sándor Laczkó,👤 Person/Manager,98.41%
2,Vladimir Soldatkin,👤 Person/Manager,99.54%
2,Aliaksiy Zyl,👤 Person/Manager,99.83%
2,Dinamo,🏟️ Club/Country,99.86%
2,Chris Fraser,👤 Person/Manager,99.98%
2,Marcela Mora y Araujo,👤 Person/Manager,94.99%
2,Rodrigo Orihuela,👤 Person/Manager,98.75%
2,Féderico Mayol,👤 Person/Manager,99.82%
2,Neil Clack,👤 Person/Manager,99.73%
2,Klaus Gallo,👤 Person/Manager,99.93%
2,Araceli Alemán,👤 Person/Manager,99.30%
2,Juan Román Riquelme,👤 Person/Manager,99.54%
2,Ivan Soter,👤 Person/Manager,99.96%
2,Roberto Assaf,👤 Person/Manager,99.57%
2,Paulo Émilio,👤 Person/Manager,99.97%
2,Alberto Helena Junior,👤 Person/Manager,99.97%
2,Cassiano Gobbet,👤 Person/Manager,99.86%
2,Robert Shaw,👤 Person/Manager,99.98%
2,Jordana Alvarez dos Santos,👤 Person/Manager,99.95%
2,Aidan Hamilton,👤 Person/Manager,99.98%
2,Alex Bellos,👤 Person/Manager,99.80%
2,Gabriele Marcotti,👤 Person/Manager,99.93%
2,Udinese,🏟️ Club/Country,99.77%
2,Philippe Auclair,👤 Person/Manager,92.12%
2,Christoph Biermann,👤 Person/Manager,82.58%
2,Raphael Honigstein,👤 Person/Manager,90.13%
2,Uli Hesse,👤 Person/Manager,90.63%
2,Lichtenberger,👤 Person/Manager,84.90%
2,Simon Kuper,👤 Person/Manager,97.08%
2,Auke Kok,👤 Person/Manager,90.21%
3,Uli Hesse - Lichtenberger,👤 Person/Manager,95.04%
3,Sid Lowe,👤 Person/Manager,99.98%
3,Guillem Balagué,👤 Person/Manager,99.66%
3,Brian Glanville,👤 Person/Manager,99.83%
3,Richard McBrearty,👤 Person/Manager,98.75%
3,Scottish Football Museum,🏟️ Club/Country,75.02%
3,Peter Horne,👤 Person/Manager,99.98%
3,Football,🏟️ Club/Country,78.44%
3,British Library,🏟️ Club/Country,88.68%
3,British Newspaper Library,🏟️ Club/Country,84.32%
3,Jon Adams,👤 Person/Manager,99.98%
3,David Barber,👤 Person/Manager,99.98%
3,Maurício Ribeiro Barros,👤 Person/Manager,99.88%
3,Hanspeter Born,👤 Person/Manager,99.95%
3,Duncan Castles,👤 Person/Manager,99.89%
3,Marcus Christenson,👤 Person/Manager,99.96%
3,James Copnall,👤 Person/Manager,99.64%
3,Graham Curry,👤 Person/Manager,99.98%
3,Sorin Dumitrescu,👤 Person/Manager,99.75%
3,Dave Farrar,👤 Person/Manager,99.93%
3,Igor Goldes,👤 Person/Manager,99.94%
3,Luke Gosset,👤 Person/Manager,99.59%
3,Gavin Hamilton,👤 Person/Manager,99.98%
3,Georg Heitz,👤 Person/Manager,99.96%
3,Paul Howarth,👤 Person/Manager,99.43%
3,Emil Ianchev,👤 Person/Manager,99.93%
3,Maciej Iwanski,👤 Person/Manager,99.85%
3,Richard Jolly,👤 Person/Manager,99.93%
3,John Keith,👤 Person/Manager,99.98%
3,Thomas Knellwolf,👤 Person/Manager,99.81%
3,Jim Lawton,👤 Person/Manager,99.92%
3,Andy Lyons,👤 Person/Manager,99.98%
3,Ben Lyttleton,👤 Person/Manager,99.46%
3,Dan Magnowski,👤 Person/Manager,99.73%
3,Emma McAllister,👤 Person/Manager,99.93%
3,Kevin McCarra,👤 Person/Manager,99.55%
3,Rachel Nicholson,👤 Person/Manager,99.98%
3,Vladimir Novak,👤 Person/Manager,99.98%
3,Gunnar Persson,👤 Person/Manager,99.98%
3,Andy Rose,👤 Person/Manager,99.98%
3,Paul Rowan,👤 Person/Manager,99.98%
3,Ljiljana Ruzić,👤 Person/Manager,99.84%
3,Milena Ruzić,👤 Person/Manager,99.79%
3,Dominic Sandbrook,👤 Person/Manager,99.97%
3,John Schumacher,👤 Person/Manager,99.98%
3,Hugh Sleight,👤 Person/Manager,99.70%
3,Rob Smy,👤 Person/Manager,99.74%
3,Graham S,👤 Person/Manager,70.68%
3,G,👤 Person/Manager,76.93%
3,##rgy,👤 Person/Manager,85.20%
3,##ze,🏟️ Club/Country,50.72%
3,Eric Wei,👤 Person/Manager,77.94%
3,Duncan White,👤 Person/Manager,87.71%
3,Axel V,👤 Person/Manager,71.56%
3,##ob,👤 Person/Manager,40.31%
3,Bruno Z,👤 Person/Manager,77.40%
3,##ia,🏟️ Club/Country,67.62%
3,David Luxton,👤 Person/Manager,65.33%
3,Orion,👤 Person/Manager,55.11%
3,Ian,👤 Person/Manager,99.96%
3,##ec,🏟️ Club/Country,36.85%
3,##itor,👤 Person/Manager,91.82%
3,Chris Hawke,👤 Person/Manager,99.43%
3,And,👤 Person/Manager,53.14%
3,Ian Hawke,👤 Person/Manager,99.28%
3,##nctu,👤 Person/Manager,45.63%
3,Rail,🏟️ Club/Country,45.83%
4,Luxton,👤 Person/Manager,93.33%
4,Orion,🏟️ Club/Country,98.62%
4,Ian Preece,👤 Person/Manager,98.57%
4,Chris Hawkes,👤 Person/Manager,99.78%
4,Ian Hawkey,👤 Person/Manager,99.55%
4,Network Rail,🏟️ Club/Country,99.94%
4,Reep,👤 Person/Manager,98.24%
4,Alexander Jackson,👤 Person/Manager,99.98%
4,National Football Museum,🏟️ Club/Country,86.95%
4,Martin Cloake,👤 Person/Manager,98.56%
4,Spurs,🏟️ Club/Country,99.36%
4,Peter McWilliam,👤 Person/Manager,98.36%
4,Arthur Rowe,👤 Person/Manager,99.98%
4,Esteban Bekerman,👤 Person/Manager,99.79%
4,Ed Malyon,👤 Person/Manager,99.97%
4,Martin Mazur,👤 Person/Manager,99.81%
4,Ezequiel Fernández Moores,👤 Person/Manager,99.79%
4,Joel Richards,👤 Person/Manager,99.98%
4,Pablo Vignone,👤 Person/Manager,99.93%
4,Tim Vickery,👤 Person/Manager,98.40%
4,Rob Smyth,👤 Person/Manager,99.32%
4,Nick Wehmeier,👤 Person/Manager,93.62%
4,Alan Samson,👤 Person/Manager,99.98%
4,Paul Murphy,👤 Person/Manager,99.98%
4,John English,👤 Person/Manager,99.96%
4,Carl Bromley,👤 Person/Manager,99.76%
4,Nation Books,🏟️ Club/Country,98.57%
4,Watterson,👤 Person/Manager,99.80%
4,Melissa Veronesi,👤 Person/Manager,88.68%
4,Kat Petersen,👤 Person/Manager,99.95%
5,Carrie Watterson,👤 Person/Manager,99.95%
5,FourFourTwo,🏟️ Club/Country,95.98%
5,Jamie Carragher,👤 Person/Manager,99.83%
5,Gary Neville,👤 Person/Manager,99.97%
7,Roma,🏟️ Club/Country,99.83%
7,Manchester United,🏟️ Club/Country,99.92%
7,Carlos Alberto Parreira,👤 Person/Manager,99.75%
7,Pep Guardiola,👤 Person/Manager,98.86%
7,Barcelona,🏟️ Club/Country,99.85%
7,Queen ’ s Park,🏟️ Club/Country,93.49%
7,Newcastle,🏟️ Club/Country,99.70%
7,Tottenham,🏟️ Club/Country,99.79%
7,Ajax,🏟️ Club/Country,99.84%
7,Louis van Gaal,👤 Person/Manager,99.80%
7,Marcelo Bielsa,👤 Person/Manager,98.84%
8,Total Football,🏟️ Club/Country,89.35%
8,Vic Buckingham,👤 Person/Manager,99.96%
8,Rinus Michels,👤 Person/Manager,99.93%
8,C. B. Fry,👤 Person/Manager,98.75%
8,Carlos Bilardo,👤 Person/Manager,99.45%
8,Franz Beckenbauer,👤 Person/Manager,90.18%
